0,0.47
0.002,0.34
0.004,0.23
0.006,0.03
0.008,-0.27
0.01,-0.47
0.012,-0.58
0.014,-0.74
0.016,-0.87
0.018,-0.87
0.02,-0.76
0.022,-0.58
0.024,-0.36
0.026,-0.08
0.028,0.19
0.03,0.43
0.032,0.54
0.034,0.6
0.036,0.52
0.038,0.23
0.04,-0.12
0.042,-0.41
0.044,-0.71
0.046,-0.91
0.048,-0.98
0.05,-0.91
0.052,-0.69
0.054,-0.41
0.056,-0.03
0.058,0.32
0.06,0.56
0.062,0.6
0.064,0.52
0.066,0.3
0.068,-0.01
0.07,-0.41
0.072,-0.76
0.074,-0.93
0.076,-0.96
0.078,-0.8
0.08,-0.56
0.082,-0.27
0.084,0.05
0.086,0.3
0.088,0.47
0.09,0.49
0.092,0.43
0.094,0.27
0.096,0.1
0.098,-0.12
0.1,-0.38
0.102,-0.63
0.104,-0.76
0.106,-0.78
0.108,-0.69
0.11,-0.58
0.112,-0.34
0.114,-0.12
0.116,0.08
0.118,0.25
0.12,0.41
0.122,0.49
0.124,0.47
0.126,0.38
0.128,0.14
0.13,-0.14
0.132,-0.43
0.134,-0.65
0.136,-0.78
0.138,-0.85
0.14,-0.87
0.142,-0.69
0.144,-0.36
0.146,-0.14
0.148,0.03
0.15,0.21
0.152,0.41
0.154,0.47
0.156,0.43
0.158,0.3
0.16,0.1
0.162,-0.14
0.164,-0.43
0.166,-0.65
0.168,-0.76
0.17,-0.78
0.172,-0.76
0.174,-0.52
0.176,-0.16
0.178,0.16
0.18,0.41
0.182,0.56
0.184,0.56
0.186,0.38
0.188,0.01
0.19,-0.41
0.192,-0.74
0.194,-0.91
0.196,-0.87
0.198,-0.65
0.2,-0.34
0.202,-0.03
0.204,0.21
0.206,0.43
0.208,0.49
0.21,0.43
0.212,0.19
0.214,-0.08
0.216,-0.38
0.218,-0.67
0.22,-0.82
0.222,-0.82
0.224,-0.65
0.226,-0.36
0.228,-0.12
0.23,0.19
0.232,0.43
0.234,0.49
0.236,0.43
0.238,0.19
0.24,-0.19
0.242,-0.54
0.244,-0.82
0.246,-0.96
0.248,-0.89
0.25,-0.71
0.252,-0.38
0.254,-0.01
0.256,0.3
0.258,0.49
0.26,0.52
0.262,0.43
0.264,0.12
0.266,-0.3
0.268,-0.67
0.27,-0.89
0.272,-0.98
0.274,-0.91
0.276,-0.69
0.278,-0.32
0.28,0.01
0.282,0.27
0.284,0.52
0.286,0.63
0.288,0.52
0.29,0.23
0.292,-0.1
0.294,-0.49
0.296,-0.76
0.298,-0.98
0.3,-0.91
0.302,-0.74
0.304,-0.41
0.306,-0.05
0.308,0.27
0.31,0.52
0.312,0.6
0.314,0.52
0.316,0.3
0.318,-0.08
0.32,-0.45
0.322,-0.69
0.324,-0.82
0.326,-0.85
0.328,-0.78
0.33,-0.58
0.332,-0.27
0.334,0.08
0.336,0.34
0.338,0.47
0.34,0.54
0.342,0.43
0.344,0.19
0.346,-0.12
0.348,-0.43
0.35,-0.63
0.352,-0.82
0.354,-0.89
0.356,-0.76
0.358,-0.6
0.36,-0.34
0.362,-0.05
0.364,0.25
0.366,0.45
0.368,0.49
0.37,0.47
0.372,0.32
0.374,-0.01
0.376,-0.34
0.378,-0.65
0.38,-0.87
0.382,-0.93
0.384,-0.89
0.386,-0.63
0.388,-0.3
0.39,0.03
0.392,0.27
0.394,0.49
0.396,0.58
0.398,0.47
0.4,0.25
0.402,-0.01
0.404,-0.38
0.406,-0.67
0.408,-0.85
0.41,-0.91
0.412,-0.85
0.414,-0.67
0.416,-0.43
0.418,-0.1
0.42,0.21
0.422,0.43
0.424,0.52
0.426,0.56
0.428,0.43
0.43,0.1
0.432,-0.27
0.434,-0.56
0.436,-0.8
0.438,-0.96
0.44,-0.91
0.442,-0.69
0.444,-0.38
0.446,-0.08
0.448,0.19
0.45,0.47
0.452,0.6
0.454,0.47
0.456,0.3
0.458,0.03
0.46,-0.27
0.462,-0.6
0.464,-0.78
0.466,-0.89
0.468,-0.87
0.47,-0.71
0.472,-0.45
0.474,-0.1
0.476,0.25
0.478,0.47
0.48,0.52
0.482,0.49
0.484,0.3
0.486,-0.03
0.488,-0.41
0.49,-0.71
0.492,-0.93
0.494,-0.96
0.496,-0.74
0.498,-0.38
0.5,0.08
0.502,0.43
0.504,0.69
0.506,0.65
0.508,0.34
0.51,-0.08
0.512,-0.45
0.514,-0.8
0.516,-0.96
0.518,-0.82
0.52,-0.47
0.522,-0.1
0.524,0.23
0.526,0.45
0.528,0.56
0.53,0.43
0.532,0.25
0.534,0.01
0.536,-0.27
0.538,-0.63
0.54,-0.85
0.542,-0.91
0.544,-0.76
0.546,-0.52
0.548,-0.19
0.55,0.12
0.552,0.43
0.554,0.56
0.556,0.54
0.558,0.32
0.56,0.05
0.562,-0.27
0.564,-0.56
0.566,-0.78
0.568,-0.89
0.57,-0.87
0.572,-0.71
0.574,-0.38
0.576,-0.05
0.578,0.25
0.58,0.49
0.582,0.58
0.584,0.54
0.586,0.3
0.588,-0.05
0.59,-0.41
0.592,-0.71
0.594,-0.91
0.596,-0.96
0.598,-0.85
0.6,-0.58
0.602,-0.21
0.604,0.1
0.606,0.43
0.608,0.65
0.61,0.71
0.612,0.54
0.614,0.27
0.616,-0.03
0.618,-0.45
0.62,-0.74
0.622,-0.93
0.624,-1
0.626,-0.96
0.628,-0.74
0.63,-0.43
0.632,-0.08
0.634,0.21
0.636,0.45
0.638,0.63
0.64,0.65
0.642,0.49
0.644,0.27
0.646,-0.01
0.648,-0.3
0.65,-0.67
0.652,-0.87
0.654,-0.98
0.656,-1
0.658,-0.89
0.66,-0.63
0.662,-0.32
0.664,0.01
0.666,0.19
0.668,0.34
0.67,0.52
0.672,0.58
0.674,0.49
0.676,0.36
0.678,0.16
0.68,-0.1
0.682,-0.38
0.684,-0.58
0.686,-0.76
0.688,-0.91
0.69,-0.98
0.692,-0.93
0.694,-0.78
0.696,-0.63
0.698,-0.41
0.7,-0.19
0.702,0.1
0.704,0.3
0.706,0.47
0.708,0.65
0.71,0.63
0.712,0.52
0.714,0.32
0.716,0.05
0.718,-0.23
0.72,-0.54
0.722,-0.82
0.724,-1
0.726,-1.04
0.728,-0.91
0.73,-0.69
0.732,-0.32
0.734,0.05
0.736,0.32
0.738,0.56
0.74,0.69
0.742,0.6
0.744,0.36
0.746,-0.01
0.748,-0.38
0.75,-0.71
0.752,-0.96
0.754,-0.98
0.756,-0.85
0.758,-0.65
0.76,-0.41
0.762,-0.1
0.764,0.16
0.766,0.34
0.768,0.43
0.77,0.49
0.772,0.45
0.774,0.32
0.776,0.14
0.778,-0.08
0.78,-0.27
0.782,-0.43
0.784,-0.67
0.786,-0.8
0.788,-0.82
0.79,-0.78
0.792,-0.67
0.794,-0.47
0.796,-0.21
0.798,0.03
0.8,0.3
0.802,0.52
0.804,0.63
0.806,0.56
0.808,0.43
0.81,0.23
0.812,-0.01
0.814,-0.32
0.816,-0.63
0.818,-0.82
0.82,-0.87
0.822,-0.82
0.824,-0.67
0.826,-0.41
0.828,-0.08
0.83,0.19
0.832,0.41
0.834,0.54
0.836,0.56
0.838,0.43
0.84,0.25
0.842,0.03
0.844,-0.23
0.846,-0.52
0.848,-0.71
0.85,-0.8
0.852,-0.8
0.854,-0.74
0.856,-0.56
0.858,-0.23
0.86,0.1
0.862,0.36
0.864,0.54
0.866,0.56
0.868,0.45
0.87,0.14
0.872,-0.19
0.874,-0.52
0.876,-0.78
0.878,-0.96
0.88,-0.93
0.882,-0.71
0.884,-0.45
0.886,-0.14
0.888,0.16
0.89,0.47
0.892,0.58
0.894,0.58
0.896,0.34
0.898,0.03
0.9,-0.27
0.902,-0.65
0.904,-0.82
0.906,-0.91
0.908,-0.87
0.91,-0.69
0.912,-0.36
0.914,-0.01
0.916,0.25
0.918,0.41
0.92,0.47
0.922,0.47
0.924,0.32
0.926,0.05
0.928,-0.16
0.93,-0.49
0.932,-0.71
0.934,-0.82
0.936,-0.8
0.938,-0.74
0.94,-0.58
0.942,-0.38
0.944,-0.12
0.946,0.12
0.948,0.3
0.95,0.43
0.952,0.45
0.954,0.36
0.956,0.12
0.958,-0.16
0.96,-0.43
0.962,-0.65
0.964,-0.85
0.966,-0.89
0.968,-0.8
0.97,-0.58
0.972,-0.36
0.974,-0.14
0.976,0.08
0.978,0.25
0.98,0.34
0.982,0.43
0.984,0.43
0.986,0.34
0.988,0.19
0.99,0.03
0.992,-0.14
0.994,-0.34
0.996,-0.56
0.998,-0.71
1,-0.78
1.002,-0.78
1.004,-0.71
1.006,-0.58
1.008,-0.38
1.01,-0.19
1.012,0.08
1.014,0.27
1.016,0.45
1.018,0.49
1.02,0.41
1.022,0.27
1.024,0.03
1.026,-0.3
1.028,-0.65
1.03,-0.85
1.032,-0.93
1.034,-0.85
1.036,-0.69
1.038,-0.38
1.04,-0.05
1.042,0.21
1.044,0.45
1.046,0.56
1.048,0.47
1.05,0.23
1.052,-0.12
1.054,-0.49
1.056,-0.78
1.058,-0.93
1.06,-0.96
1.062,-0.76
1.064,-0.52
1.066,-0.21
1.068,0.08
1.07,0.32
1.072,0.43
1.074,0.38
1.076,0.34
1.078,0.19
1.08,-0.05
1.082,-0.36
1.084,-0.6
1.086,-0.74
1.088,-0.82
1.09,-0.8
1.092,-0.67
1.094,-0.43
1.096,-0.14
1.098,0.12
1.1,0.38
1.102,0.52
1.104,0.54
1.106,0.36
1.108,0.08
1.11,-0.3
1.112,-0.67
1.114,-0.93
1.116,-0.96
1.118,-0.82
1.12,-0.58
1.122,-0.27
1.124,0.03
1.126,0.25
1.128,0.36
1.13,0.36
1.132,0.32
1.134,0.23
1.136,0.05
1.138,-0.19
1.14,-0.41
1.142,-0.58
1.144,-0.74
1.146,-0.8
1.148,-0.76
1.15,-0.63
1.152,-0.43
1.154,-0.19
1.156,0.1
1.158,0.3
1.16,0.41
1.162,0.45
1.164,0.43
1.166,0.32
1.168,0.1
1.17,-0.16
1.172,-0.38
1.174,-0.58
1.176,-0.69
1.178,-0.71
1.18,-0.6
1.182,-0.43
1.184,-0.19
1.186,0.05
1.188,0.36
1.19,0.54
1.192,0.56
1.194,0.36
1.196,0.12
1.198,-0.21
1.2,-0.54
1.202,-0.74
1.204,-0.8
1.206,-0.78
1.208,-0.65
1.21,-0.36
1.212,-0.08
1.214,0.21
1.216,0.41
1.218,0.47
1.22,0.45
1.222,0.3
1.224,0.03
1.226,-0.23
1.228,-0.47
1.23,-0.67
1.232,-0.76
1.234,-0.65
1.236,-0.41
1.238,-0.14
1.24,0.16
1.242,0.43
1.244,0.56
1.246,0.52
1.248,0.34
1.25,0.08
1.252,-0.27
1.254,-0.58
1.256,-0.8
1.258,-0.78
1.26,-0.6
1.262,-0.32
1.264,-0.05
1.266,0.23
1.268,0.38
1.27,0.43
1.272,0.34
1.274,0.25
1.276,0.08
1.278,-0.19
1.28,-0.45
1.282,-0.6
1.284,-0.67
1.286,-0.71
1.288,-0.67
1.29,-0.49
1.292,-0.27
1.294,-0.01
1.296,0.21
1.298,0.41
1.3,0.49
1.302,0.41
1.304,0.27
1.306,0.05
1.308,-0.23
1.31,-0.56
1.312,-0.8
1.314,-0.82
1.316,-0.8
1.318,-0.67
1.32,-0.36
1.322,-0.01
1.324,0.25
1.326,0.49
1.328,0.58
1.33,0.45
1.332,0.19
1.334,-0.16
1.336,-0.47
1.338,-0.76
1.34,-0.96
1.342,-0.98
1.344,-0.78
1.346,-0.45
1.348,-0.08
1.35,0.27
1.352,0.54
1.354,0.63
1.356,0.54
1.358,0.27
1.36,-0.08
1.362,-0.45
1.364,-0.74
1.366,-0.93
1.368,-0.96
1.37,-0.85
1.372,-0.71
1.374,-0.45
1.376,-0.1
1.378,0.14
1.38,0.36
1.382,0.47
1.384,0.54
1.386,0.45
1.388,0.23
1.39,-0.05
1.392,-0.32
1.394,-0.63
1.396,-0.85
1.398,-0.96
1.4,-0.89
1.402,-0.82
1.404,-0.67
1.406,-0.41
1.408,-0.14
1.41,0.08
1.412,0.25
1.414,0.43
1.416,0.49
1.418,0.43
1.42,0.21
1.422,0.01
1.424,-0.25
1.426,-0.52
1.428,-0.76
1.43,-0.87
1.432,-0.87
1.434,-0.85
1.436,-0.76
1.438,-0.65
1.44,-0.41
1.442,-0.25
1.444,-0.1
1.446,0.08
1.448,0.23
1.45,0.27
1.452,0.32
1.454,0.32
1.456,0.25
1.458,0.08
1.46,-0.08
1.462,-0.23
1.464,-0.41
1.466,-0.56
1.468,-0.69
1.47,-0.78
1.472,-0.8
1.474,-0.74
1.476,-0.69
1.478,-0.6
1.48,-0.47
1.482,-0.38
1.484,-0.21
1.486,-0.03
1.488,0.12
1.49,0.23
1.492,0.32
1.494,0.38
1.496,0.41
1.498,0.34
1.5,0.19
1.502,0.05
1.504,-0.05
1.506,-0.25
1.508,-0.45
1.51,-0.6
1.512,-0.69
1.514,-0.78
1.516,-0.78
1.518,-0.71
1.52,-0.63
1.522,-0.49
1.524,-0.3
1.526,-0.14
1.528,0.01
1.53,0.12
1.532,0.25
1.534,0.32
1.536,0.34
1.538,0.3
1.54,0.21
1.542,0.12
1.544,-0.03
1.546,-0.23
1.548,-0.38
1.55,-0.49
1.552,-0.58
1.554,-0.65
1.556,-0.65
1.558,-0.63
1.56,-0.63
1.562,-0.54
1.564,-0.38
1.566,-0.19
1.568,-0.05
1.57,0.08
1.572,0.25
1.574,0.36
1.576,0.38
1.578,0.38
1.58,0.38
1.582,0.36
1.584,0.27
1.586,0.16
1.588,0.05
1.59,-0.12
1.592,-0.3
1.594,-0.45
1.596,-0.56
1.598,-0.65
1.6,-0.74
1.602,-0.74
1.604,-0.67
1.606,-0.63
1.608,-0.58
1.61,-0.49
1.612,-0.3
1.614,-0.1
1.616,-0.01
1.618,0.12
1.62,0.27
1.622,0.38
1.624,0.38
1.626,0.38
1.628,0.34
1.63,0.27
1.632,0.12
1.634,-0.03
1.636,-0.12
1.638,-0.32
1.64,-0.52
1.642,-0.67
1.644,-0.69
1.646,-0.67
1.648,-0.58
1.65,-0.43
1.652,-0.23
1.654,-0.03
1.656,0.12
1.658,0.32
1.66,0.43
1.662,0.43
1.664,0.34
1.666,0.21
1.668,0.05
1.67,-0.16
1.672,-0.36
1.674,-0.49
1.676,-0.58
1.678,-0.63
1.68,-0.63
1.682,-0.52
1.684,-0.38
1.686,-0.23
1.688,-0.08
1.69,0.12
1.692,0.3
1.694,0.38
1.696,0.41
1.698,0.41
1.7,0.32
1.702,0.12
1.704,-0.1
1.706,-0.27
1.708,-0.45
1.71,-0.58
1.712,-0.74
1.714,-0.69
1.716,-0.71
1.718,-0.63
1.72,-0.52
1.722,-0.3
1.724,-0.05
1.726,0.21
1.728,0.38
1.73,0.49
1.732,0.47
1.734,0.38
1.736,0.27
1.738,0.08
1.74,-0.16
1.742,-0.43
1.744,-0.63
1.746,-0.69
1.748,-0.78
1.75,-0.78
1.752,-0.63
1.754,-0.45
1.756,-0.25
1.758,-0.01
1.76,0.25
1.762,0.36
1.764,0.41
1.766,0.41
1.768,0.32
1.77,0.21
1.772,0.01
1.774,-0.23
1.776,-0.45
1.778,-0.63
1.78,-0.74
1.782,-0.76
1.784,-0.63
1.786,-0.45
1.788,-0.27
1.79,-0.03
1.792,0.16
1.794,0.3
1.796,0.34
1.798,0.32
1.8,0.23
1.802,0.03
1.804,-0.23
1.806,-0.49
1.808,-0.65
1.81,-0.74
1.812,-0.76
1.814,-0.63
1.816,-0.32
1.818,0.03
1.82,0.3
1.822,0.45
1.824,0.45
1.826,0.38
1.828,0.21
1.83,-0.08
1.832,-0.38
1.834,-0.67
1.836,-0.85
1.838,-0.82
1.84,-0.63
1.842,-0.32
1.844,-0.05
1.846,0.23
1.848,0.49
1.85,0.54
1.852,0.45
1.854,0.21
1.856,-0.1
1.858,-0.47
1.86,-0.76
1.862,-0.91
1.864,-0.82
1.866,-0.65
1.868,-0.38
1.87,-0.08
1.872,0.19
1.874,0.43
1.876,0.52
1.878,0.47
1.88,0.36
1.882,0.12
1.884,-0.16
1.886,-0.43
1.888,-0.69
1.89,-0.85
1.892,-0.87
1.894,-0.76
1.896,-0.56
1.898,-0.34
1.9,-0.08
1.902,0.19
1.904,0.38
1.906,0.43
1.908,0.38
1.91,0.23
1.912,0.05
1.914,-0.3
1.916,-0.58
1.918,-0.8
1.92,-0.87
1.922,-0.8
1.924,-0.56
1.926,-0.25
1.928,0.03
1.93,0.25
1.932,0.41
1.934,0.41
1.936,0.34
1.938,0.14
1.94,-0.14
1.942,-0.43
1.944,-0.67
1.946,-0.85
1.948,-0.87
1.95,-0.69
1.952,-0.47
1.954,-0.23
1.956,0.01
1.958,0.27
1.96,0.38
1.962,0.38
1.964,0.25
1.966,0.08
1.968,-0.19
1.97,-0.52
1.972,-0.76
1.974,-0.82
1.976,-0.8
1.978,-0.6
1.98,-0.34
1.982,0.01
1.984,0.27
1.986,0.38
1.988,0.43
1.99,0.32
1.992,0.05
1.994,-0.23
1.996,-0.54
1.998,-0.76
